ObjectID,Latitude,Longitude,EnterpriseID,RegionalID,GeoID,OperatingStatTypeCode,OperatingFutureStatTypeCode,ServEffectiveDate,StopTypeCode,AtStreet,OnStreet,StopHeading,PositionTypeCode,LocationDesc,MessageText,InventorySurveyorTypeCode,StopInvenSurvDate,BenchCount,InfocaseOwner,BikeRacks,PostedRouteSched,PostedVicinMap,PostedRouteMap,PedPadSizeTypeCode,PedPadMaterialTypeCode,PedPadObstructTypeCode,PedPadCurbConnection,BusRearDoorPedPad,BusRearDoorPedPadObstruction,SidewalkWidth,SidewalkCurbConnection,SidewalkPedPadConnection,SidewalkSlopeWheelchairViable,SidewalkObstructionTypeCode,SidewalkImpedanceTypeCode,NearSideCurbRampSlope,NearSideCurbRamp,FarSideCurbRamp,AtStreetCurbRamp,AtStreetOppCurbRamp,OnStreetNearSideCrosswalk,OnStreetFarSideCrosswalk,AtStreetCrosswalk,AtStreetOppCrosswalk,OnStreetStopSignOrLight,OnStreetPedCrossingSignal,AtStreetPedCrossingSignal,ParkingRestrictTypeCode,NoParkingZoneLength,ConflictingNoParkingSigns,StreetLightWithin30Ft,LEDDisplay,AccessibilityRating
2001,38.837753,-76.98873,1310121,1000102,2203,PRS,NON,"DateObject[{1971, 3, 15, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,13TH ST SE,VALLEY AVE SE,"Quantity[75, ""AngularDegrees""]",NEA,,VALLEY AVE SE + 13TH ST SE,KFH Associates,"DateObject[{2006, 4, 20, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,WMAT,FALSE,TRUE,FALSE,TRUE,SWK,CON,NON,FALSE,FALSE,E,"Quantity[6, ""Feet""]",FALSE,FALSE,FALSE,NON,,"Quantity[5.7, ""Percent""]",FALSE,FALSE,,FALSE,,,,,FALSE,FALSE,FALSE,Allowed Unmarked,,,TRUE,,FALSE
2002,38.859564,-76.958992,1309726,1000321,3309,PRS,NON,"DateObject[{1901, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,CAMDEN ST SE,BRANCH AVE SE,"Quantity[181, ""AngularDegrees""]",NEA,,BRANCH AVE SE + CAMDEN ST SE,KFH Associates,"DateObject[{2006, 5, 12, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,,FALSE,FALSE,FALSE,FALSE,SWK,CON,NON,FALSE,FALSE,E,"Quantity[3, ""Feet""]",FALSE,TRUE,FALSE,NON,,"Quantity[5.4, ""Percent""]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No Parking Per Sign,,FALSE,FALSE,,FALSE
2003,38.870537,-77.146582,1302633,5001228,3923,PRS,NON,"DateObject[{1901, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,WILLSTON DR,PATRICK HENRY DR,"Quantity[127, ""AngularDegrees""]",,FRT OF #2930A,PATRICK HENRY DR + WILLSTON DR,KFH Associates,"DateObject[{2012, 4, 24, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,NAPP,FALSE,FALSE,FALSE,FALSE,NON,EXM,NON,,FALSE,E,"Quantity[0, ""Feet""]",FALSE,FALSE,FALSE,NON,NON,,FALSE,FALSE,,TRUE,FALSE,FALSE,E,TRUE,FALSE,FALSE,FALSE,No Parking Lane,"Quantity[150, ""Feet""]",FALSE,FALSE,FALSE,FALSE
2004,38.841671,-76.911627,1303758,3003986,16302,PRS,NON,"DateObject[{2004, 6, 27, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,PRINCESS CAROLINE CT,HIL MAR DR,"Quantity[102, ""AngularDegrees""]",NEA,@ LIGHT POLE,HIL MAR DR + PRINCESS CAROLINE CT,KFH Associates,"DateObject[{2006, 10, 4, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,,FALSE,FALSE,FALSE,FALSE,SWK,CON,NON,FALSE,FALSE,E,"Quantity[4, ""Feet""]",FALSE,FALSE,TRUE,NON,,"Quantity[8.1, ""Percent""]",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allowed Marked,,,TRUE,,FALSE
2005,38.87481,-77.102924,1304453,6000414,4163,PRS,NON,"DateObject[{1901, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,N OAKLAND ST,N PERSHING DR,"Quantity[58, ""AngularDegrees""]",NEA,,N PERSHING DR + N OAKLAND ST,KFH Associates,"DateObject[{2007, 3, 19, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,,FALSE,FALSE,FALSE,FALSE,SWK,CON,NON,TRUE,FALSE,E,"Quantity[4, ""Feet""]",TRUE,TRUE,TRUE,NON,UPV,"Quantity[5.3, ""Percent""]",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allowed Unmarked,,,FALSE,,FALSE
2006,38.843906,-76.976043,1311443,1003707,17465,PRS,NON,"DateObject[{2011, 3, 15, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,19TH ST,MISSISSIPPI AVE,"Quantity[260, ""AngularDegrees""]",NEA,45' E OF STOP LINE,MISSISSIPPI AVE + 19TH ST,,"DateObject[{1900, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,,,,,,,,,,,,"Quantity[0, ""Feet""]",,,,,,,,,,,,,,,,,,,,,,,
2007,38.8578,-76.97322,1309627,1000297,3213,PRS,NON,"DateObject[{1971, 11, 9, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,BRUCE PL SE,AINGER PL SE,"Quantity[130, ""AngularDegrees""]",FAR,,AINGER PL SE + BRUCE PL SE,KFH Associates,"DateObject[{2006, 5, 8, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,,FALSE,FALSE,FALSE,FALSE,<58,BRK,NON,TRUE,FALSE,E,"Quantity[4, ""Feet""]",FALSE,TRUE,FALSE,NON,,"Quantity[4.7, ""Percent""]",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,No Parking Per Sign,,FALSE,TRUE,,FALSE
2008,38.776961,-76.959437,1306599,3000215,380,PRS,NON,"DateObject[{1985, 6, 30, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,HEMPSTEAD DR,BOCK RD,"Quantity[318, ""AngularDegrees""]",NEA,,BOCK RD + HEMPSTEAD DR,KFH Associates,"DateObject[{2006, 9, 6, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,,FALSE,FALSE,FALSE,FALSE,58U,CON,NON,TRUE,FALSE,E,"Quantity[3, ""Feet""]",FALSE,TRUE,FALSE,NON,,"Quantity[5.5, ""Percent""]",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,No Parking Per Sign,,FALSE,FALSE,,FALSE
2009,38.892237,-77.038867,1307387,1000869,5245,PRS,NON,"DateObject[{1966, 10, 12, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,17TH ST NW,CONSTITUTION AVE NW,"Quantity[277, ""AngularDegrees""]",NEA,,CONSTITUTION AVE NW + 17TH ST NW,KFH Associates,"DateObject[{2008, 8, 7, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",1,WMAT,FALSE,TRUE,FALSE,FALSE,58U,CON,NON,TRUE,TRUE,,"Quantity[11, ""Feet""]",TRUE,TRUE,FALSE,NON,,"Quantity[4.4, ""Percent""]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,No Parking Per Sign,,FALSE,TRUE,,TRUE
2010,38.949475,-77.066456,1301936,1002502,8448,PRS,NON,"DateObject[{1953, 12, 28, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,BRANDYWINE ST NW,CONNECTICUT AVE NW,"Quantity[335, ""AngularDegrees""]",NEA,,CONNECTICUT AVE NW + BRANDYWINE ST NW,KFH Associates,"DateObject[{2009, 6, 9, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",1,WMAT,FALSE,TRUE,FALSE,TRUE,58U,CON,NON,TRUE,FALSE,E,"Quantity[7, ""Feet""]",FALSE,TRUE,FALSE,NON,,"Quantity[8.7, ""Percent""]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,No Parking Per Sign,,FALSE,FALSE,,TRUE
